radius,ncity,ndp,nap,ndpdc_p,ndpac_p,ndc_p,nac_p,pp,psc,pdc,pac,alpha,beta,gamma,ndpdc,ndpac,ndc,nac,utility,converged,iterations,time
0.4,15,4,2,1,1,0.2,0.2,0.95,0.95,0.6,0.6,8,8,8,4,4,1,1,-1.100724441,TRUE,22018,164.0781023
0.2,15,4,6,1,1,0.8,0.2,0.95,0.6,0.6,0.95,1,8,8,4,4,3,1,-2.535461586,FALSE,659,1803.293626
0.4,15,8,2,0.2,1,0.8,0.2,0.6,0.95,0.6,0.95,8,-8,8,2,8,2,2,-1.38574341,TRUE,14546,244.8531539
0.2,9,4,2,1,0.2,0.8,0.8,0.95,0.6,0.6,0.6,1,8,0,4,1,3,1,-0.584117751,TRUE,5153,4.409253019
0.2,15,8,2,0.2,0.2,0.2,0.8,0.95,0.95,0.6,0.95,8,8,8,2,2,1,2,-1.594633778,TRUE,31843,44.35280797
0.4,9,4,2,0.2,1,0.8,0.8,0.95,0.95,0.6,0.6,1,-8,8,1,4,1,3,-1.110742232,TRUE,20275,23.39453404
0.4,9,8,6,0.2,1,0.2,0.2,0.95,0.95,0.95,0.95,1,-8,8,2,8,1,2,-0.465544253,TRUE,2109,98.02465999
0.2,15,8,6,0.2,1,0.2,0.2,0.6,0.6,0.6,0.6,1,-8,8,2,8,1,2,-3.223274366,FALSE,177,1811.025429
0.3,12,6,4,0.6,0.6,0.5,0.5,0.775,0.775,0.775,0.775,4.5,0,4,4,4,2,2,-1.305477126,FALSE,12711,1801.371783
0.4,9,4,2,1,1,0.2,0.2,0.6,0.6,0.6,0.6,1,-8,0,4,4,1,1,-0.57898903,TRUE,11582,26.21788455
0.4,9,8,2,1,1,0.2,0.8,0.6,0.95,0.6,0.95,1,8,8,8,8,2,6,-0.839656068,FALSE,11857,1801.333352
0.4,9,8,6,0.2,0.2,0.8,0.8,0.6,0.95,0.6,0.6,8,-8,0,2,2,2,2,-0.266416338,TRUE,3233,4.122123339
0.2,15,4,6,1,1,0.8,0.2,0.95,0.6,0.6,0.95,1,8,8,4,4,3,1,-2.534457196,FALSE,643,1803.218058
0.2,9,8,6,1,1,0.8,0.8,0.6,0.6,0.6,0.6,8,8,8,8,8,6,6,-1.912415013,FALSE,2983,1801.586224
0.2,15,8,2,0.2,0.2,0.2,0.8,0.95,0.95,0.6,0.95,8,8,8,2,2,1,2,-1.593835792,TRUE,31843,42.44316472
0.2,9,4,2,1,0.2,0.8,0.8,0.95,0.6,0.6,0.6,1,8,0,4,1,3,1,-0.586819386,TRUE,5153,4.525145878
0.2,9,8,6,1,0.2,0.2,0.2,0.95,0.6,0.95,0.95,1,8,0,8,2,2,1,-0.067754973,TRUE,898,40.15822367
0.4,15,4,2,1,0.2,0.8,0.8,0.6,0.95,0.95,0.95,1,8,0,4,1,3,1,-0.709486374,TRUE,13388,25.5236679
0.4,15,4,2,0.2,0.2,0.2,0.2,0.95,0.6,0.95,0.95,1,8,8,1,1,1,1,-0.906807569,TRUE,2564,2.709138846
0.4,15,8,6,0.2,1,0.2,0.2,0.6,0.6,0.95,0.95,8,8,0,2,8,1,2,-1.929051874,FALSE,176,1810.790723
0.2,9,8,2,1,1,0.2,0.8,0.6,0.95,0.95,0.6,8,-8,0,8,8,2,6,-1.01873242,FALSE,12181,1801.29798
0.4,15,8,6,0.2,0.2,0.8,0.8,0.95,0.6,0.6,0.6,1,8,8,2,2,2,2,-0.088713386,TRUE,76,13.77975685
0.4,9,8,6,1,1,0.8,0.8,0.6,0.6,0.95,0.95,1,-8,0,8,8,6,6,-0.236843805,FALSE,2739,1801.373666
0.3,12,6,4,0.6,0.6,0.5,0.5,0.775,0.775,0.775,0.775,4.5,0,4,4,4,2,2,-1.301179448,FALSE,12888,1801.210317
0.2,9,4,2,0.2,1,0.8,0.8,0.95,0.95,0.95,0.95,8,8,0,1,4,1,3,-1.280274522,TRUE,21466,29.48014527
0.4,15,4,6,0.2,1,0.2,0.8,0.6,0.95,0.95,0.6,8,-8,8,1,4,1,3,-3.90534015,FALSE,2630,1801.462347
0.2,9,4,2,0.2,0.2,0.2,0.2,0.6,0.95,0.6,0.6,1,8,8,1,1,1,1,-0.912684805,TRUE,11640,5.44198234
0.2,9,4,6,0.2,0.2,0.8,0.2,0.6,0.6,0.95,0.6,1,-8,0,1,1,1,1,-1.709910841,TRUE,27256,18.03297113
0.4,9,4,6,0.2,1,0.2,0.8,0.95,0.6,0.95,0.6,1,8,0,1,4,1,3,-1.874106578,TRUE,26272,72.51158424
0.2,15,8,2,1,1,0.2,0.8,0.95,0.6,0.95,0.6,1,8,8,8,8,2,6,-1.592225065,FALSE,4256,1801.544977
0.4,15,8,6,1,1,0.8,0.8,0.95,0.95,0.95,0.95,8,8,8,8,8,6,6,-0.125751247,FALSE,14,1907.113393
0.2,15,4,6,1,0.2,0.2,0.8,0.6,0.6,0.95,0.6,8,8,0,4,1,1,1,-3.062514341,FALSE,2659,1801.378077
0.4,15,4,2,0.2,0.2,0.2,0.2,0.95,0.6,0.95,0.95,1,8,8,1,1,1,1,-0.911173481,TRUE,2549,2.853798413
0.2,15,8,6,1,1,0.8,0.8,0.95,0.95,0.6,0.6,1,-8,0,8,8,6,6,-2.674128982,FALSE,14,1890.111209
0.4,9,8,2,1,1,0.2,0.8,0.6,0.95,0.6,0.95,1,8,8,8,8,2,6,-0.839655526,FALSE,11813,1801.316236
0.4,9,4,6,1,0.2,0.2,0.8,0.95,0.95,0.6,0.95,8,8,0,4,1,1,1,-0.124171867,TRUE,1033,3.658835595
0.4,15,4,6,1,0.2,0.2,0.8,0.6,0.6,0.6,0.95,1,-8,8,4,1,1,1,-2.141711301,FALSE,2654,1801.788442
0.4,15,8,2,0.2,0.2,0.2,0.8,0.95,0.95,0.95,0.6,1,-8,0,2,2,1,2,-0.041239836,TRUE,31,1.231233939
0.2,9,8,6,0.2,0.2,0.8,0.8,0.6,0.95,0.95,0.95,1,8,8,2,2,2,2,-0.886723902,TRUE,12450,13.32158413
0.2,15,4,2,1,1,0.2,0.2,0.95,0.95,0.95,0.95,1,-8,0,4,4,1,1,-1.662673702,TRUE,33257,220.7964916
0.2,15,4,2,1,0.2,0.8,0.8,0.6,0.95,0.6,0.6,8,-8,8,4,1,3,1,-1.662268501,TRUE,33257,70.56611614
