Term,Estimate,Std Error,t Ratio,Prob>|t|
Intercept,-4.175964,0.002973,-1405,<.0001
pp,1.3622612,0.002131,639.24,<.0001
psc,0.1711281,0.002122,80.64,<.0001
pdc,1.3508264,0.002113,639.18,<.0001
beta,5.40E-05,4.68E-05,1.15,0.2498
(pp-0.77432)*(pp-0.77432),-0.105672,0.02423,-4.36,<.0001
(pp-0.77432)*(psc-0.77805),-0.189206,0.02045,-9.25,<.0001
(psc-0.77805)*(psc-0.77805),-0.423946,0.023735,-17.86,<.0001
(pp-0.77432)*(pdc-0.77484),1.6504559,0.020768,79.47,<.0001
(psc-0.77805)*(pdc-0.77484),-0.084144,0.020251,-4.16,<.0001
(pdc-0.77484)*(pdc-0.77484),-0.119635,0.023836,-5.02,<.0001
(psc-0.77805)*(beta-0.16497),-0.001819,0.000446,-4.08,<.0001
