NE,RLP,DBR,CCFR
-0.412906102546545,-0.4039232278203392,-0.40861204883322644,-0.4061090069854236
-0.41068513445973254,-0.4050523787022036,-0.4080230134396468,-0.4053470281397947
-0.4137082693827694,-0.4064992369206182,-0.4099502831547551,-0.4074691929095403
-0.41138566578894437,-0.4039718920128702,-0.4080568865785173,-0.4051813798741244
-0.4094196033649275,-0.4041062704366495,-0.40588133777598917,-0.40352093001615524
-0.41667744353619085,-0.4076367803305444,-0.4106621778925215,-0.40780748867187494
-0.4128072043301,-0.4065065695102043,-0.4094772361029044,-0.40672756129100107
-0.41392718941975054,-0.40645369809736887,-0.4099939355969052,-0.4071252898012849
-0.4180270277529026,-0.4092457010506914,-0.412348538939749,-0.4096665034324251
-0.41302032520794973,-0.40810727953444437,-0.4106065688121546,-0.40838473794893065
-0.41010866049765365,-0.40363796751226155,-0.4069894225833248,-0.40421607884994726
-0.4106144510321738,-0.4050393710973222,-0.40806958523343406,-0.405604484595103
-0.4116031643098571,-0.40607204996535884,-0.40900855476069425,-0.4061674253708077
-0.4117612805481998,-0.4057831854212178,-0.4088633322551869,-0.40635709877228043
-0.4103494688747521,-0.40526241422753617,-0.40941660258978,-0.4069725588659766
-0.41288970626697874,-0.4058809277647248,-0.40853326329589235,-0.4062180267677517
-0.41083985699489706,-0.40452808880762475,-0.4078628432567932,-0.40556381060614555
-0.4142997944811322,-0.4076043641103788,-0.41106273670636084,-0.4082613685171096
-0.4116018142207992,-0.4071689171331127,-0.40888237501174396,-0.4065158590705451
-0.41436872094382343,-0.40977359173904837,-0.4122395394569596,-0.40904894627098504
-0.4151728773817293,-0.40773150411069653,-0.4101193553123116,-0.40748277994453974
-0.4120886617179571,-0.40424099623528165,-0.4076804179420931,-0.4049236135032302
-0.4130696656996149,-0.4068042929326418,-0.4097063191028723,-0.40732233211741725
-0.4121444758562138,-0.40708134727351414,-0.41122677316048495,-0.4085929761896312
-0.41128922386319716,-0.4049670346736509,-0.4083062758412823,-0.40599931339891016
-0.4163244724830119,-0.4086010373612294,-0.4120526935651632,-0.40915538850465816
-0.41217138574193013,-0.4066390909025553,-0.40845848369567744,-0.40594571489647885
-0.41155928481294807,-0.4042186827710194,-0.40817829115906884,-0.40551602155960326
-0.4127061892003388,-0.40657750662936826,-0.4097093402517506,-0.40728758303037815
-0.4115267186418793,-0.4036699897615258,-0.4091798599644318,-0.40651549871742165
-0.41415687329881173,-0.41012500462006957,-0.41128974345077174,-0.4082241151969376
-0.41017139353768434,-0.4034242268984664,-0.4075079352827291,-0.4046669491327102
-0.4159230894244626,-0.4097834456645825,-0.4125435871853376,-0.40995096777148776
-0.411126332994289,-0.4039347798288113,-0.40693479100133056,-0.40393735029233424
-0.4119181609060984,-0.40360525589070223,-0.40803064940960676,-0.405560048004316
-0.4109197654455259,-0.4050689171480869,-0.40924492673698487,-0.40688617932999205
-0.40786699930534437,-0.39936509774685525,-0.4033906178290953,-0.40073426015628544
-0.41463432801633654,-0.40849174294481044,-0.41068173217022136,-0.40771112127122217
-0.4095176823154194,-0.4004156969896695,-0.4050018965026329,-0.40261818961566215
-0.4091293926554362,-0.4066457978513779,-0.409252003755257,-0.4066451389213676
-0.41406206047344607,-0.40808547847096094,-0.41000654354367916,-0.4075802252715106
-0.41254218336131454,-0.40575949991127325,-0.4085567223457118,-0.40651497625491745
-0.41694192904024835,-0.4094727688934355,-0.412583666283713,-0.4107745609869874
-0.41389262814597516,-0.40715504768351485,-0.41029464758915407,-0.40770783998802856
-0.41148718051544864,-0.40553171554588374,-0.4073549894770728,-0.40557575928724643
-0.41839730121409496,-0.4088420005550425,-0.41168241949228207,-0.4092056320384837
-0.4116118621070678,-0.4036130114387146,-0.40633815325422024,-0.4038818820470032
-0.4112543495817768,-0.4076860985973038,-0.41089259596563515,-0.40901106727708486
-0.4124019784992042,-0.40558184220297744,-0.40923545816624973,-0.40664716801113604
-0.4164851248926297,-0.4102057075252554,-0.41224087161898326,-0.4093670030848915
-0.41496806104663714,-0.4078421628845356,-0.4121456190113304,-0.40931519256849025
-0.41123123258010646,-0.40372637702000985,-0.4078335762898936,-0.4052757016360277
-0.41168966988181144,-0.4053291851790066,-0.40825285330898325,-0.40626905739762154
-0.4130484362530293,-0.40548406532967246,-0.40854344380621244,-0.40598323085651694
-0.4109353934648259,-0.4030832016146277,-0.4075737769660193,-0.4051441409405695
-0.4124903069362327,-0.40663270009841856,-0.4096825086872278,-0.40716857597156275
-0.41393758781835976,-0.40882102668365333,-0.41234309313244966,-0.4096123657012094
-0.4123607672046642,-0.40445258633740355,-0.4095384477955879,-0.40679140841615835
-0.41083707945278203,-0.403553807871297,-0.4055471513559816,-0.4031120686922417
-0.415300041261217,-0.4065237160400607,-0.4099969313635285,-0.4068020855179139
-0.4062846838230788,-0.4000844716922909,-0.4039718096796949,-0.40191985453529744
-0.4145893699602046,-0.4076455230401209,-0.4092884607145846,-0.4076158063949383
-0.41512996995712925,-0.4074123078317857,-0.41041573435816303,-0.40744271261621706
-0.41095305845494373,-0.4036916240378083,-0.4081722189150409,-0.4051246583048688
-0.413556436257651,-0.40606509800245133,-0.4095001799136984,-0.4078293509729426
-0.4129745088735029,-0.4077073098529891,-0.4095129296085601,-0.40643106773873283
-0.41285707748216477,-0.40652350397459364,-0.40874860843807115,-0.40616948100501843
-0.41639578834581725,-0.41098543122670533,-0.41473069655650396,-0.4113374466483895
-0.4123392988699038,-0.4066667291927724,-0.4104934282020886,-0.40791296387124704
-0.4141998552450734,-0.40645107002216607,-0.4100614773159208,-0.4071945911226413
-0.4136816060544669,-0.4069045006862377,-0.40934085541033155,-0.406669269505867
-0.4159026176175279,-0.40747898440844554,-0.41026410821907994,-0.40740615678415043
-0.41169050407676355,-0.4032638929194688,-0.4072898513028061,-0.4047260320293931
-0.4151706556578444,-0.40649557919141177,-0.41027804239408094,-0.407591348199536
-0.41792828007576227,-0.4088461024787723,-0.41251022814980554,-0.41003238248700874
-0.412373563214869,-0.40687919522726196,-0.40846395274698966,-0.4061889370439122
-0.4114900919013353,-0.40453140472013444,-0.40768889968846067,-0.4051187582032259
-0.4141410730031087,-0.407290071578357,-0.4109489603932079,-0.40775591951423396
-0.41213459044124334,-0.40375737797985073,-0.40762502570458753,-0.40524347609733086
-0.41397161680685146,-0.4068810625253336,-0.40937012141274665,-0.4070024398352604
-0.4128852786365197,-0.4048664267859965,-0.40930067199696224,-0.4067469371611271
-0.41366240251384007,-0.40754457538601485,-0.411489607389251,-0.4084610613590833
-0.4113267738331458,-0.40281268248297847,-0.407181600056259,-0.40418972964447764
-0.41131788927428253,-0.40497748854094356,-0.4105845442589897,-0.40831905690793624
-0.41151076836557865,-0.40449970427362986,-0.40792437392663855,-0.4046191651049569
-0.4090155464830668,-0.4053112653897646,-0.40792721784609004,-0.4050228593132338
-0.411637168573344,-0.4075087792713326,-0.41022336766486034,-0.4074412992975434
-0.41388552264453393,-0.40644571157640286,-0.40978966707317704,-0.40795937189019577
-0.41587199959578935,-0.41049178206406267,-0.41284686104196083,-0.41031661652218354
-0.41199396373750796,-0.40469447090436256,-0.4089491595262501,-0.4061065136717561
-0.41258593620391704,-0.4056628998787424,-0.40839660597760036,-0.405667265948159
-0.412181362263164,-0.4053947857133991,-0.408834521205238,-0.406597090893369
-0.4133840259146067,-0.4073349040279462,-0.4113070338840765,-0.40814324483642955
-0.4139524440656576,-0.4082137935718875,-0.41071164684071465,-0.40816111968334295
-0.40836535992904743,-0.4028160282096164,-0.4057889973212313,-0.4035762103802937
-0.41216221271305015,-0.4072134369022003,-0.40821472296087313,-0.4061955425683499
-0.41632907193306723,-0.4098528812565561,-0.41104827464520544,-0.4085926360625791
-0.41462332786055217,-0.40643933718712616,-0.41021810144345444,-0.4074909068207499
-0.41252804998586057,-0.40593630202656206,-0.4092113679378315,-0.40635043736254955
-0.41073814571357253,-0.4032099757416476,-0.4060668941280378,-0.40299688116400156
-0.41517187207324446,-0.40740823469846876,-0.40994104736099335,-0.4074525428353051
-0.4106991193464237,-0.40436562138916954,-0.4087500926238885,-0.40613177986145055
-0.41373470215216956,-0.40764130118579456,-0.41032757591739255,-0.4072026961290262
