Algorithm,Action,x1,x2,x3,x4,x5,x6
CFR,1,0.461013015,0.001849985,0.004357402,0.326815257,0.204808841,0.001155499
CFR,2,0.169693727,0.00039387,0.000150557,0.638775096,0.19029703,0.00068972
CFR,3,0.373137986,0.00014041,0.005989501,0.385556266,0.235013474,0.000162362
CFR,4,0.631210428,0.000295508,0.000295508,0.140439431,0.227463616,0.000295508
DBCFR,1,0.99419645,0.000137855,0.000137855,0.002922231,0.002467754,0.000137855
DBCFR,2,0.995371705,8.74E-05,8.74E-05,0.003773419,0.000592546,8.74E-05
DBCFR,3,0.990461863,0.000169291,0.000169291,0.007738543,0.001291721,0.000169291
DBCFR,4,0.996243007,8.73E-05,8.73E-05,0.001747651,0.001747562,8.73E-05
CCFR,1,0.700721293,0.007807944,0.000425298,0.289328533,0.001167994,0.000548939
CCFR,2,0.979975833,0.000465053,0.000289724,0.016726994,0.00224687,0.000295526
CCFR,3,0.987154194,0.010788861,0.00051713,0.000784742,0.000377345,0.000377728
CCFR,4,1,1.19E-24,1.19E-24,4.36E-16,3.93E-16,1.19E-24
